Case_ID,Case_Title,Crime_Type,Description,Location,Date,Keywords,Evidence_Summary,Evidence_Count,Status,Priority,FIR_Text,Suspect_Count
C001,Sitabuldi Mobile Phone Theft,Theft,A mobile phone was reported stolen from a crowded public area.,Sitabuldi,2025-01-19,"theft, sitabuldi, investigation, evidence",Witness statement,1,Under Investigation,Open,The complainant reported a theft incident at Sitabuldi on 2025-01-19. A mobile phone was reported stolen from a crowded public area.,1
C002,Dharampeth Motorcycle Theft,Vehicle Theft,A scooter was reported missing from a residential parking area.,Dharampeth,2025-01-26,"vehicle theft, dharampeth, investigation, evidence",CCTV footage; Vehicle registration details; Parking-area witness statement,3,Under Investigation,Open,The complainant reported a vehicle theft incident at Dharampeth on 2025-01-26. A scooter was reported missing from a residential parking area.,3
C003,Sadar Roadside Robbery,Robbery,An unknown person threatened the complainant and took a bag containing personal belongings.,Sadar,2025-02-02,"robbery, sadar, investigation, evidence",Fingerprint examination; Recovered personal item; Eyewitness statement; Victim statement,4,Under Investigation,Open,The complainant reported a robbery incident at Sadar on 2025-02-02. An unknown person threatened the complainant and took a bag containing personal belongings.,3
C004,Manish Nagar Online Payment Fraud,Fraud,A victim was deceived through a fake online payment request and lost money.,Manish Nagar,2025-02-09,"fraud, manish nagar, investigation, evidence",Transaction record,1,Under Investigation,Open,The complainant reported a fraud incident at Manish Nagar on 2025-02-09. A victim was deceived through a fake online payment request and lost money.,1
C005,Laxmi Nagar Public Place Assault,Assault,A physical confrontation occurred near a public place and resulted in minor injuries.,Laxmi Nagar,2025-02-16,"assault, laxmi nagar, investigation, evidence",No evidence logged yet,0,Closed,Closed,The complainant reported a assault incident at Laxmi Nagar on 2025-02-16. A physical confrontation occurred near a public place and resulted in minor injuries.,2
C006,Jaripatka Residential Burglary,Burglary,A residential property was entered without permission and household items were stolen.,Jaripatka,2025-02-23,"burglary, jaripatka, investigation, evidence",Footprint examination; Photographs of entry point; Fingerprint evidence; Recovered property details,4,Under Investigation,Open,The complainant reported a burglary incident at Jaripatka on 2025-02-23. A residential property was entered without permission and household items were stolen.,1
C007,Wardha Road Chain Snatching,Chain Snatching,A pedestrian reported that an unknown motorcycle rider snatched a chain.,Wardha Road,2025-03-02,"chain snatching, wardha road, investigation, evidence",Nearby traffic-camera image; CCTV footage; Victim statement; Eyewitness statement; Recovered chain photograph,5,Under Investigation,Open,The complainant reported a chain snatching incident at Wardha Road on 2025-03-02. A pedestrian reported that an unknown motorcycle rider snatched a chain.,2
C008,Pratap Nagar Online Account Crime,Cybercrime,A fraudulent link was used to obtain personal or banking information.,Pratap Nagar,2025-03-09,"cybercrime, pratap nagar, investigation, evidence",Victim statement,1,Under Investigation,Open,The complainant reported a cybercrime incident at Pratap Nagar on 2025-03-09. A fraudulent link was used to obtain personal or banking information.,0
C009,Civil Lines Mobile Phone Theft,Theft,A wallet containing cash and identification documents was reported stolen.,Civil Lines,2025-03-16,"theft, civil lines, investigation, evidence",Stolen item identification details; CCTV footage; Witness statement,3,Under Investigation,Open,The complainant reported a theft incident at Civil Lines on 2025-03-16. A wallet containing cash and identification documents was reported stolen.,2
C010,Mankapur Motorcycle Theft,Vehicle Theft,A motorcycle was reported stolen from a parking area during evening hours.,Mankapur,2025-03-23,"vehicle theft, mankapur, investigation, evidence",Vehicle tracking record; Recovered vehicle photograph,2,Closed,Closed,The complainant reported a vehicle theft incident at Mankapur on 2025-03-23. A motorcycle was reported stolen from a parking area during evening hours.,1
C011,Itwari Roadside Robbery,Robbery,A person was threatened and their wallet was taken near a roadside location.,Itwari,2025-03-30,"robbery, itwari, investigation, evidence",Fingerprint examination; Recovered personal item; Victim statement,3,Under Investigation,Critical,The complainant reported a robbery incident at Itwari on 2025-03-30. A person was threatened and their wallet was taken near a roadside location.,1
C012,Ramdaspeth Online Payment Fraud,Fraud,A victim was deceived by a fake customer-care representative and made a payment.,Ramdaspeth,2025-04-06,"fraud, ramdaspeth, investigation, evidence",Email or chat records; Transaction record; Bank statement,3,Under Investigation,Open,The complainant reported a fraud incident at Ramdaspeth on 2025-04-06. A victim was deceived by a fake customer-care representative and made a payment.,2
C013,Mahal Public Place Assault,Assault,An individual reported being physically assaulted following an argument.,Mahal,2025-04-13,"assault, mahal, investigation, evidence",Recovered object; CCTV footage; Witness statement; Medical report; Photographs of injuries,5,Under Investigation,Open,The complainant reported a assault incident at Mahal on 2025-04-13. An individual reported being physically assaulted following an argument.,1
C014,Nandanvan Residential Burglary,Burglary,A house was entered through a rear door and electronic items were reported missing.,Nandanvan,2025-04-20,"burglary, nandanvan, investigation, evidence",Recovered property details; Footprint examination; Photographs of entry point,3,Under Investigation,Open,The complainant reported a burglary incident at Nandanvan on 2025-04-20. A house was entered through a rear door and electronic items were reported missing.,2
C015,Hingna Road Chain Snatching,Chain Snatching,An unknown person snatched a chain while passing the pedestrian.,Hingna Road,2025-04-27,"chain snatching, hingna road, investigation, evidence",Nearby traffic-camera image; Recovered chain photograph; Eyewitness statement; Victim statement; CCTV footage,5,Closed,Closed,The complainant reported a chain snatching incident at Hingna Road on 2025-04-27. An unknown person snatched a chain while passing the pedestrian.,3
C016,Sakkardara Online Account Crime,Cybercrime,A victim reported unauthorized access to an online account.,Sakkardara,2025-05-04,"cybercrime, sakkardara, investigation, evidence",IP/session information; Transaction records; Victim statement,3,Under Investigation,Open,The complainant reported a cybercrime incident at Sakkardara on 2025-05-04. A victim reported unauthorized access to an online account.,0
C017,Cotton Market Mobile Phone Theft,Theft,A laptop bag containing electronic items was reported missing from a workplace.,Cotton Market,2025-05-11,"theft, cotton market, investigation, evidence",Nearby camera still image; Witness statement; Victim statement,3,Under Investigation,Open,The complainant reported a theft incident at Cotton Market on 2025-05-11. A laptop bag containing electronic items was reported missing from a workplace.,1
C018,Trimurti Nagar Motorcycle Theft,Vehicle Theft,A motorcycle was stolen from outside a commercial building.,Trimurti Nagar,2025-05-18,"vehicle theft, trimurti nagar, investigation, evidence",Parking-area witness statement; Vehicle tracking record; CCTV footage; Vehicle registration details,4,Under Investigation,Open,The complainant reported a vehicle theft incident at Trimurti Nagar on 2025-05-18. A motorcycle was stolen from outside a commercial building.,2
